the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.9427921184255 -37.78398401734769),265,Royal Park:  RP - Ross Straw Field B2 West,Royal Park,RP - Ross Straw Field B2 West,,Y,N,,N,N,L,Y,Y,N,N,"107,426",0,0,0,0
POINT (144.97903255227487 -37.83991854635422),64,Fawkner Park:  FP - Lawn 18_SB4_SB3_S4,Fawkner Park,FP - Lawn 18_SB4_SB3_S4,,Y,Y,,N,N,M,Y,N,N,Y,"103,756",0,0,0,0
POINT (144.96578472064343 -37.8030436798691),340,Other Park Locations:  Argyle Square (South),Other Park Locations,Argyle Square (South),,Y,Y,,N,N,L,,N,N,N,"106,097",0,"106,097",53.36004813,13
POINT (144.9234666007344 -37.788470093709485),"1,346",Newmarket Reserve:  Newmarket Pavilion,Newmarket Reserve,Newmarket Pavilion,,Y,N,,N,N,L,Y,N,N,N,"618,421",0,"617,780",53.29046812,330
POINT (144.963377362942 -37.82053851243121),393,Other Park Locations:  Southbank Promenade - grass area,Other Park Locations,Southbank Promenade - grass area,,Y,Y,,N,N,L,,N,N,N,"111,302",0,"558,548",62.39325145,142
POINT (144.9814109466398 -37.81414491702501),126,Fitzroy Gardens:  FT - Lawn 21,Fitzroy Gardens,FT - Lawn 21,,Y,Y,,N,Y,M,,N,N,N,"103,807",0,"103,808",84.89156771,206
POINT (144.97082104446253 -37.80620609216334),29,Carlton Gardens:  CG - Lawn 11,Carlton Gardens,CG - Lawn 11,,Y,N,,N,Y,L,,N,N,N,"108,268",0,"546,082",54.57055686,294
POINT (144.95531877123642 -37.77855677831291),268,Royal Park:  RP - Lawn 9_Ransford Ct_F2_L3,Royal Park,RP - Lawn 9_Ransford Ct_F2_L3,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.94373386693263 -37.79911472938728),360,Other Park Locations:  Gardiner Reserve,Other Park Locations,Gardiner Reserve,,Y,Y,,N,N,L,,Y,N,N,"102,913",0,"102,913",29.86978579,29
POINT (144.96037070486315 -37.82541356209026),349,Other Park Locations:  City Road Park,Other Park Locations,City Road Park,,Y,Y,,N,N,L,,N,N,N,"108,053",0,"108,053",7.72514826,142
POINT (144.9782884163219 -37.81387558368636),131,Fitzroy Gardens:  FT - Lawn 26,Fitzroy Gardens,FT - Lawn 26,,Y,N,,N,Y,M,,N,N,N,"103,807",0,"111,454",32.2586383,316
POINT (144.92266340403762 -37.792514022427625),383,Other Park Locations:  Peppercorn Park,Other Park Locations,Peppercorn Park,,Y,Y,,N,N,L,,N,N,N,"110,081",0,"107,565",22.95735819,124
POINT (144.97788337151445 -37.837961944061746),49,Fawkner Park:  FP - Lawn 3,Fawkner Park,FP - Lawn 3,,Y,Y,,Y,N,M,N,N,N,Y,"103,756",0,"578,355",95.92767716,64
POINT (144.96124036180393 -37.78664887784743),215,Princes Park:  PP - Lawn 2_Summer Touch (6),Princes Park,PP - Lawn 2_Summer Touch (6),,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.95940887405254 -37.82023449697838),45,Enterprise Park:  EP - Lawn 2,Enterprise Park,EP - Lawn 2,,Y,Y,,N,N,H,,N,N,N,"103,973",0,"602,950",51.92617301,165
POINT (144.94487688658427 -37.80864887136427),366,Other Park Locations:  Hawke & Adderley Street Park,Other Park Locations,Hawke & Adderley Street Park,,Y,Y,,N,N,L,,Y,N,N,"104,755",0,"104,755",13.94508753,293
POINT (144.955236671582 -37.78697065657136),241,Royal Park:  RP - Lawn 6_Bourke and Wills,Royal Park,RP - Lawn 6_Bourke and Wills,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,"587,540",57.88822249,116
POINT (144.94759906602815 -37.79219451711191),257,Royal Park:  RP - Lawn 13_Flem Road_Cs1_S3,Royal Park,RP - Lawn 13_Flem Road_Cs1_S3,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.97306989164414 -37.80021407728376),381,Other Park Locations:  Murchison Square,Other Park Locations,Murchison Square,,Y,Y,,N,N,L,,N,N,N,"106,828",0,"524,046",24.86003702,79
POINT (144.95392976581286 -37.78700392266655),253,Royal Park:  RP - Lawn 6_Brens Ct_F4,Royal Park,RP - Lawn 6_Brens Ct_F4,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.98200532503284 -37.812010691974855),137,Fitzroy Gardens:  FT - Lawn 9/Old Bandstand,Fitzroy Gardens,FT - Lawn 9/Old Bandstand,,Y,Y,,N,Y,M,,Y,N,N,"103,807",0,0,0,0
POINT (144.96068893885598 -37.78969724504652),208,Princes Park:  PP - Crawford_Ct3_F2,Princes Park,PP - Crawford_Ct3_F2,,Y,N,,N,N,M,Y,N,N,Y,"107,696",0,0,0,0
POINT (144.9873669018947 -37.81143226898333),385,Other Park Locations:  Powlett Reserve,Other Park Locations,Powlett Reserve,,Y,Y,,N,N,L,,Y,N,N,"107,620",0,"526,105",70.42207444,130
POINT (144.94246396491934 -37.81471918160141),"1,225",Docklands:  Promotional Sites:  3.New Quay Promenade East,Docklands,Promotional Sites,3.New Quay Promenade East,Y,Y,,N,N,,,N,N,N,"579,369","22,785","598,290",12.64858209,269
POINT (144.9554621837315 -37.78557214679238),276,Royal Park:  RP - Lawn 6_Walker West_Ct1,Royal Park,RP - Lawn 6_Walker West_Ct1,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.94862438795033 -37.80518674164739),367,"Other Park Locations:  Hawke, King & Errol St Reserve",Other Park Locations,"Hawke, King & Errol St Reserve",,Y,Y,,N,N,L,,N,N,N,"110,911",0,"110,911",1.7382153,234
POINT (144.92134758302743 -37.798249959297706),174,Holland Park:  HP - Extreme Sports Area,Holland Park,HP - Extreme Sports Area,,Y,N,,N,N,M,Y,N,N,N,"105,220",0,"586,156",34.32973394,143
