water_id,poi_id,Description,lat,lon,distance
381,127,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81818027452629,144.97128244641144,16.15657071069873
382,128,Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,-37.79892449188125,144.9259559284791,53.44425971934532
383,128,Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,-37.79841970759794,144.92421993826412,54.23562447209969
384,128,Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,-37.798130093325604,144.92171759711218,56.64159790268658
385,129,Drinking Fountain - Drinking Fountain - Monument Style Type 3,-37.808763201408944,144.97559991595182,1.8653660130946794
386,129,Drinking Fountain - Old Style Steel Drinking Fountain,-37.80831892386757,144.97445245211898,6.0669133127409145
387,129,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Parliament Reserve,-37.80980631970157,144.97383443627947,12.521440523716915
388,130,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.799615873678334,144.96425054146184,14.183885524867506
389,130,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.79701104423778,144.96719442537858,19.435722566152027
390,130,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80049198107528,144.96374391208968,19.932054908578966
391,131,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81144127333385,144.9551162672695,14.18888452482816
392,131,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815185695578855,144.95257756009232,14.7063717911553
393,131,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.812622318799654,144.95695726799045,19.189890003423407
394,132,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.810438177722986,144.96409803572945,8.569510633745516
395,132,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811468256332006,144.9617506772221,8.68103029287104
396,132,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81047950700537,144.9643462282214,10.126039299833305
397,133,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,-37.802621217998535,144.96563804631614,3.4499460189657434
398,133,Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,-37.80282308235531,144.96630068198394,4.000482411852097
399,133,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.803371100927336,144.96636401763814,4.079410963141786
400,134,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,-37.802621217998535,144.96563804631614,1.576393542865388
401,134,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,-37.80225790808832,144.96613628041044,2.3921006345654723
402,134,Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,-37.80282308235531,144.96630068198394,3.3958297094068954
403,135,Drinking Fountain - Drinking Fountain - Monument Style Type 2,-37.79825505675542,144.97056606707608,6.037041294523222
404,135,Drinking Fountain - Drinking Fountain - Type 1,-37.80037327256486,144.97278944216202,15.330337115975368
405,135,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,-37.79735923804568,144.9739862970034,16.872376650956237
406,136,Drinking Fountain - Drinking Fountain - Type 1,-37.80037327256486,144.97278944216202,1.8264741143044956
407,136,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80211398428,144.97283100368062,11.827586844123939
408,136,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80241728553811,144.97202290316704,15.171917688710343
409,137,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Parliament Reserve,-37.80980631970157,144.97383443627947,2.377975906992217
